PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,W,L,MIN,STL,BLK,DREB,DEF_RIM_FGM,DEF_RIM_FGA,DEF_RIM_FG_PCT,Hustle Type
1626151,Aaron Harrison,1610612766,CHA,2,1,1,3.7,0.0,0.0,0.5,0.5,0.5,1.0,Rim Protection
201143,Al Horford,1610612737,ATL,10,4,6,32.7,1.2,2.4,5.2,3.7,9.0,0.411,Rim Protection
2744,Al Jefferson,1610612766,CHA,7,3,4,24.1,0.6,0.4,4.1,3.1,5.4,0.579,Rim Protection
202329,Al-Farouq Aminu,1610612757,POR,11,5,6,33.8,0.7,0.9,6.5,2.2,4.7,0.462,Rim Protection
203459,Allen Crabbe,1610612757,POR,11,5,6,27.5,0.6,0.1,2.5,0.9,1.3,0.714,Rim Protection
2405,Amar'e Stoudemire,1610612748,MIA,9,4,5,9.1,0.6,0.3,1.1,1.6,2.7,0.583,Rim Protection
101161,Amir Johnson,1610612738,BOS,6,2,4,22.3,0.2,1.3,5.3,3.0,6.2,0.486,Rim Protection
2760,Anderson Varejao,1610612744,GSW,5,5,0,6.0,0.2,0.4,0.8,0.8,2.6,0.308,Rim Protection
203083,Andre Drummond,1610612765,DET,4,0,4,32.9,0.3,1.5,6.0,1.8,5.0,0.35,Rim Protection
2738,Andre Iguodala,1610612744,GSW,10,8,2,29.7,0.9,0.4,2.4,0.7,1.2,0.583,Rim Protection
1889,Andre Miller,1610612759,SAS,5,3,2,7.0,0.0,0.0,0.6,0.6,0.6,1.0,Rim Protection
203460,Andre Roberson,1610612760,OKC,11,8,3,23.9,1.2,1.0,3.5,1.0,2.3,0.44,Rim Protection
101106,Andrew Bogut,1610612744,GSW,10,8,2,17.7,0.8,1.8,4.6,2.4,5.3,0.453,Rim Protection
202726,Andrew Goudelock,1610612745,HOU,2,0,2,5.7,0.0,0.0,1.0,0.0,0.0,0.0,Rim Protection
201627,Anthony Morrow,1610612760,OKC,9,6,3,5.5,0.1,0.0,0.2,0.1,0.2,0.5,Rim Protection
201229,Anthony Tolliver,1610612765,DET,3,0,3,8.7,0.0,0.3,1.0,0.0,0.0,0.0,Rim Protection
203382,Aron Baynes,1610612765,DET,4,0,4,11.0,0.0,0.0,1.3,2.5,4.0,0.625,Rim Protection
203085,Austin Rivers,1610612746,LAC,6,2,4,24.0,0.5,0.0,2.0,0.8,1.3,0.625,Rim Protection
202340,Avery Bradley,1610612738,BOS,1,0,1,33.2,1.0,1.0,1.0,3.0,5.0,0.6,Rim Protection
202687,Bismack Biyombo,1610612761,TOR,13,7,6,21.3,0.4,1.1,5.9,2.7,6.3,0.427,Rim Protection
201933,Blake Griffin,1610612746,LAC,4,2,2,31.7,0.8,0.5,7.0,2.3,5.0,0.45,Rim Protection
1626246,Boban Marjanovic,1610612759,SAS,7,4,3,6.0,0.0,0.3,1.4,0.7,1.1,0.625,Rim Protection
2564,Boris Diaw,1610612759,SAS,9,6,3,17.6,0.2,0.4,1.9,1.2,2.3,0.524,Rim Protection
201575,Brandon Rush,1610612744,GSW,6,5,1,9.9,0.0,0.2,1.5,0.8,1.3,0.625,Rim Protection
203148,Brian Roberts,1610612757,POR,10,4,6,3.6,0.0,0.0,0.0,0.1,0.2,0.5,Rim Protection
1627362,Briante Weber,1610612748,MIA,2,1,1,3.0,0.5,0.0,0.0,0.0,0.0,0.0,Rim Protection
203468,CJ McCollum,1610612757,POR,11,5,6,40.2,0.9,0.5,3.0,1.5,2.9,0.5,Rim Protection
