CLOSE_DEF_PERSON_ID,PLAYER_NAME,PLAYER_LAST_TEAM_ID,PLAYER_LAST_TEAM_ABBREVIATION,PLAYER_POSITION,AGE,GP,G,FREQ,FGM_LT_06,FGA_LT_06,LT_06_PCT,NS_LT_06_PCT,PLUSMINUS,Hustle Type
1626167,Myles Turner,1610612754,IND,F-C,20.0,7,7,0.561,3.43,7.86,0.436,0.596,-0.16,Less Than 6 Feet
2585,Zaza Pachulia,1610612742,DAL,C,32.0,5,5,0.638,4.8,7.4,0.649,0.634,0.015,Less Than 6 Feet
201143,Al Horford,1610612737,ATL,C-F,29.0,10,10,0.429,3.3,7.3,0.452,0.593,-0.14,Less Than 6 Feet
203486,Mason Plumlee,1610612757,POR,C-F,26.0,11,11,0.602,4.0,7.0,0.571,0.662,-0.091,Less Than 6 Feet
200794,Paul Millsap,1610612737,ATL,F,31.0,10,10,0.381,3.6,6.9,0.522,0.605,-0.083,Less Than 6 Feet
203110,Draymond Green,1610612744,GSW,F,26.0,10,9,0.356,2.4,6.8,0.353,0.595,-0.242,Less Than 6 Feet
202355,Hassan Whiteside,1610612748,MIA,C,26.0,10,9,0.465,4.0,6.7,0.597,0.597,0.0,Less Than 6 Feet
201586,Serge Ibaka,1610612760,OKC,F,26.0,11,11,0.379,3.82,6.27,0.609,0.66,-0.051,Less Than 6 Feet
200746,LaMarcus Aldridge,1610612759,SAS,F,30.0,10,10,0.43,3.2,6.1,0.525,0.591,-0.066,Less Than 6 Feet
1626185,Jarell Martin,1610612763,MEM,F,21.0,2,2,0.667,4.0,6.0,0.667,0.685,-0.018,Less Than 6 Feet
201599,DeAndre Jordan,1610612746,LAC,C,27.0,6,6,0.574,2.17,5.83,0.371,0.563,-0.192,Less Than 6 Feet
202685,Jonas Valanciunas,1610612761,TOR,C,24.0,10,10,0.5,2.5,5.4,0.463,0.638,-0.175,Less Than 6 Feet
101161,Amir Johnson,1610612738,BOS,F,29.0,6,6,0.508,3.17,5.33,0.594,0.62,-0.027,Less Than 6 Feet
203500,Steven Adams,1610612760,OKC,C,22.0,11,11,0.365,3.18,5.27,0.603,0.628,-0.025,Less Than 6 Feet
1717,Dirk Nowitzki,1610612742,DAL,F,37.0,5,5,0.51,3.2,5.2,0.615,0.628,-0.013,Less Than 6 Feet
101133,Ian Mahinmi,1610612754,IND,C,29.0,7,7,0.522,2.14,5.14,0.417,0.589,-0.172,Less Than 6 Feet
202340,Avery Bradley,1610612738,BOS,G,25.0,1,1,0.417,3.0,5.0,0.6,0.572,0.028,Less Than 6 Feet
202683,Enes Kanter,1610612760,OKC,C,23.0,11,11,0.491,2.82,4.91,0.574,0.628,-0.054,Less Than 6 Feet
202684,Tristan Thompson,1610612739,CLE,C-F,25.0,8,8,0.358,2.88,4.88,0.59,0.594,-0.004,Less Than 6 Feet
2730,Dwight Howard,1610612745,HOU,C,30.0,5,5,0.421,3.2,4.8,0.667,0.67,-0.003,Less Than 6 Feet
201567,Kevin Love,1610612739,CLE,F,27.0,8,8,0.328,3.0,4.75,0.632,0.607,0.025,Less Than 6 Feet
203512,Lucas Nogueira,1610612761,TOR,C,23.0,2,2,0.692,4.0,4.5,0.889,0.608,0.281,Less Than 6 Feet
202687,Bismack Biyombo,1610612761,TOR,C-F,23.0,13,12,0.519,2.15,4.31,0.5,0.608,-0.108,Less Than 6 Feet
202329,Al-Farouq Aminu,1610612757,POR,F,25.0,11,11,0.294,2.09,4.27,0.489,0.64,-0.15,Less Than 6 Feet
2544,LeBron James,1610612739,CLE,F,31.0,8,8,0.391,1.63,4.25,0.382,0.599,-0.217,Less Than 6 Feet
201933,Blake Griffin,1610612746,LAC,F,27.0,4,4,0.347,2.0,4.25,0.471,0.585,-0.115,Less Than 6 Feet
201145,Jeff Green,1610612746,LAC,F,29.0,6,5,0.316,2.5,4.17,0.6,0.584,0.016,Less Than 6 Feet
203083,Andre Drummond,1610612765,DET,C,22.0,4,4,0.4,1.5,4.0,0.375,0.623,-0.248,Less Than 6 Feet
1626257,Salah Mejri,1610612742,DAL,C,29.0,4,4,0.64,2.25,4.0,0.563,0.615,-0.052,Less Than 6 Feet
2594,Kyle Korver,1610612737,ATL,G,35.0,10,9,0.408,2.4,4.0,0.6,0.608,-0.008,Less Than 6 Feet
201935,James Harden,1610612745,HOU,G,26.0,5,5,0.29,3.6,4.0,0.9,0.651,0.249,Less Than 6 Feet
1495,Tim Duncan,1610612759,SAS,C-F,40.0,10,10,0.506,1.4,3.9,0.359,0.601,-0.242,Less Than 6 Feet
1626163,Frank Kaminsky,1610612766,CHA,C,23.0,7,7,0.342,2.14,3.86,0.556,0.634,-0.078,Less Than 6 Feet
203109,Jae Crowder,1610612738,BOS,F,25.0,6,6,0.278,2.5,3.67,0.682,0.602,0.08,Less Than 6 Feet
202323,Evan Turner,1610612738,BOS,G-F,27.0,6,6,0.297,2.0,3.67,0.545,0.594,-0.049,Less Than 6 Feet
2736,Luol Deng,1610612748,MIA,F,31.0,13,13,0.299,1.92,3.62,0.532,0.581,-0.049,Less Than 6 Feet
202695,Kawhi Leonard,1610612759,SAS,F,24.0,10,10,0.364,1.8,3.6,0.5,0.628,-0.128,Less Than 6 Feet
201980,Danny Green,1610612759,SAS,G-F,28.0,10,10,0.281,2.2,3.6,0.611,0.605,0.006,Less Than 6 Feet
2216,Zach Randolph,1610612763,MEM,F,34.0,4,4,0.318,2.5,3.5,0.714,0.635,0.079,Less Than 6 Feet
202699,Tobias Harris,1610612765,DET,F,23.0,4,4,0.264,2.5,3.5,0.714,0.593,0.122,Less Than 6 Feet
200768,Kyle Lowry,1610612761,TOR,G,30.0,13,12,0.331,2.0,3.46,0.578,0.622,-0.044,Less Than 6 Feet
2561,David West,1610612759,SAS,F,35.0,9,8,0.508,1.89,3.44,0.548,0.581,-0.033,Less Than 6 Feet
201976,Patrick Beverley,1610612745,HOU,G,27.0,5,5,0.279,2.2,3.4,0.647,0.623,0.025,Less Than 6 Feet
203468,CJ McCollum,1610612757,POR,G,24.0,11,11,0.194,2.27,3.36,0.676,0.636,0.04,Less Than 6 Feet
101106,Andrew Bogut,1610612744,GSW,C,31.0,10,9,0.44,1.7,3.3,0.515,0.592,-0.077,Less Than 6 Feet
2744,Al Jefferson,1610612766,CHA,C,31.0,7,7,0.523,1.86,3.29,0.565,0.624,-0.059,Less Than 6 Feet
202334,Ed Davis,1610612757,POR,F-C,26.0,11,9,0.434,2.18,3.27,0.667,0.631,0.036,Less Than 6 Feet
2440,Matt Barnes,1610612763,MEM,F,36.0,4,4,0.295,2.25,3.25,0.692,0.662,0.03,Less Than 6 Feet
201177,Josh McRoberts,1610612748,MIA,F,29.0,9,9,0.547,1.89,3.22,0.586,0.623,-0.037,Less Than 6 Feet
