CLOSE_DEF_PERSON_ID,PLAYER_NAME,PLAYER_LAST_TEAM_ID,PLAYER_LAST_TEAM_ABBREVIATION,PLAYER_POSITION,AGE,GP,G,FREQ,FGM_LT_10,FGA_LT_10,LT_10_PCT,NS_LT_10_PCT,PLUSMINUS,Hustle Type
202355,Hassan Whiteside,1610612748,MIA,C,26.0,10,10,0.708,5.3,10.2,0.52,0.534,-0.014,Less Than 10 Feet
203110,Draymond Green,1610612744,GSW,F,26.0,10,10,0.524,3.0,10.0,0.3,0.543,-0.243,Less Than 10 Feet
1626167,Myles Turner,1610612754,IND,F-C,20.0,7,7,0.673,4.0,9.43,0.424,0.539,-0.114,Less Than 10 Feet
201143,Al Horford,1610612737,ATL,C-F,29.0,10,10,0.541,3.8,9.2,0.413,0.543,-0.13,Less Than 10 Feet
2585,Zaza Pachulia,1610612742,DAL,C,32.0,5,5,0.741,5.2,8.6,0.605,0.597,0.008,Less Than 10 Feet
200794,Paul Millsap,1610612737,ATL,F,31.0,10,10,0.47,4.1,8.5,0.482,0.553,-0.07,Less Than 10 Feet
203486,Mason Plumlee,1610612757,POR,C-F,26.0,11,11,0.703,4.64,8.18,0.567,0.607,-0.04,Less Than 10 Feet
201586,Serge Ibaka,1610612760,OKC,F,26.0,11,11,0.489,4.91,8.09,0.607,0.595,0.012,Less Than 10 Feet
202684,Tristan Thompson,1610612739,CLE,C-F,25.0,8,8,0.578,4.13,7.88,0.524,0.54,-0.016,Less Than 10 Feet
202685,Jonas Valanciunas,1610612761,TOR,C,24.0,10,10,0.713,3.5,7.7,0.455,0.586,-0.132,Less Than 10 Feet
201567,Kevin Love,1610612739,CLE,F,27.0,8,8,0.517,4.38,7.5,0.583,0.556,0.027,Less Than 10 Feet
200746,LaMarcus Aldridge,1610612759,SAS,F,30.0,10,10,0.521,3.6,7.4,0.486,0.543,-0.056,Less Than 10 Feet
101161,Amir Johnson,1610612738,BOS,F,29.0,6,6,0.683,3.83,7.17,0.535,0.56,-0.025,Less Than 10 Feet
203500,Steven Adams,1610612760,OKC,C,22.0,11,11,0.478,3.73,6.91,0.539,0.567,-0.028,Less Than 10 Feet
201599,DeAndre Jordan,1610612746,LAC,C,27.0,6,6,0.672,2.83,6.83,0.415,0.52,-0.105,Less Than 10 Feet
1626185,Jarell Martin,1610612763,MEM,F,21.0,2,2,0.722,4.0,6.5,0.615,0.598,0.017,Less Than 10 Feet
101133,Ian Mahinmi,1610612754,IND,C,29.0,7,7,0.652,2.43,6.43,0.378,0.536,-0.158,Less Than 10 Feet
201145,Jeff Green,1610612746,LAC,F,29.0,6,6,0.481,3.17,6.33,0.5,0.533,-0.033,Less Than 10 Feet
202683,Enes Kanter,1610612760,OKC,C,23.0,11,11,0.627,3.55,6.27,0.565,0.576,-0.011,Less Than 10 Feet
202329,Al-Farouq Aminu,1610612757,POR,F,25.0,11,11,0.431,3.09,6.27,0.493,0.58,-0.088,Less Than 10 Feet
2730,Dwight Howard,1610612745,HOU,C,30.0,5,5,0.544,4.0,6.2,0.645,0.598,0.048,Less Than 10 Feet
201584,Courtney Lee,1610612766,CHA,G,30.0,7,7,0.384,3.29,6.14,0.535,0.551,-0.016,Less Than 10 Feet
202340,Avery Bradley,1610612738,BOS,G,25.0,1,1,0.5,3.0,6.0,0.5,0.511,-0.011,Less Than 10 Feet
2544,LeBron James,1610612739,CLE,F,31.0,8,8,0.54,2.25,5.88,0.383,0.542,-0.16,Less Than 10 Feet
1717,Dirk Nowitzki,1610612742,DAL,F,37.0,5,5,0.569,3.6,5.8,0.621,0.593,0.028,Less Than 10 Feet
202323,Evan Turner,1610612738,BOS,G-F,27.0,6,6,0.446,2.33,5.5,0.424,0.546,-0.122,Less Than 10 Feet
203083,Andre Drummond,1610612765,DET,C,22.0,4,4,0.55,1.75,5.5,0.318,0.563,-0.245,Less Than 10 Feet
202687,Bismack Biyombo,1610612761,TOR,C-F,23.0,13,12,0.639,2.54,5.31,0.478,0.55,-0.072,Less Than 10 Feet
1626163,Frank Kaminsky,1610612766,CHA,C,23.0,7,7,0.468,2.71,5.29,0.514,0.579,-0.065,Less Than 10 Feet
202699,Tobias Harris,1610612765,DET,F,23.0,4,4,0.396,3.0,5.25,0.571,0.538,0.034,Less Than 10 Feet
201933,Blake Griffin,1610612746,LAC,F,27.0,4,4,0.429,2.5,5.25,0.476,0.533,-0.057,Less Than 10 Feet
2736,Luol Deng,1610612748,MIA,F,31.0,13,13,0.433,2.38,5.23,0.456,0.513,-0.057,Less Than 10 Feet
101106,Andrew Bogut,1610612744,GSW,C,31.0,10,10,0.693,2.1,5.2,0.404,0.538,-0.134,Less Than 10 Feet
201935,James Harden,1610612745,HOU,G,26.0,5,5,0.377,3.6,5.2,0.692,0.595,0.098,Less Than 10 Feet
1495,Tim Duncan,1610612759,SAS,C-F,40.0,10,10,0.675,1.6,5.2,0.308,0.547,-0.239,Less Than 10 Feet
203109,Jae Crowder,1610612738,BOS,F,25.0,6,6,0.392,3.33,5.17,0.645,0.543,0.102,Less Than 10 Feet
201980,Danny Green,1610612759,SAS,G-F,28.0,10,10,0.391,2.5,5.0,0.5,0.565,-0.065,Less Than 10 Feet
203512,Lucas Nogueira,1610612761,TOR,C,23.0,2,2,0.769,4.0,5.0,0.8,0.533,0.267,Less Than 10 Feet
2744,Al Jefferson,1610612766,CHA,C,31.0,7,7,0.75,2.57,4.71,0.545,0.577,-0.032,Less Than 10 Feet
200768,Kyle Lowry,1610612761,TOR,G,30.0,13,13,0.449,2.54,4.69,0.541,0.569,-0.028,Less Than 10 Feet
1626257,Salah Mejri,1610612742,DAL,C,29.0,4,4,0.72,2.5,4.5,0.556,0.584,-0.028,Less Than 10 Feet
2216,Zach Randolph,1610612763,MEM,F,34.0,4,4,0.409,3.5,4.5,0.778,0.571,0.207,Less Than 10 Feet
201973,Jonas Jerebko,1610612738,BOS,F,29.0,6,6,0.466,2.83,4.5,0.63,0.541,0.089,Less Than 10 Feet
201960,DeMarre Carroll,1610612761,TOR,F,29.0,13,13,0.363,2.54,4.46,0.569,0.56,0.009,Less Than 10 Feet
203460,Andre Roberson,1610612760,OKC,G,24.0,11,11,0.471,2.64,4.45,0.592,0.571,0.021,Less Than 10 Feet
202334,Ed Davis,1610612757,POR,F-C,26.0,11,10,0.578,2.82,4.36,0.646,0.577,0.069,Less Than 10 Feet
200755,JJ Redick,1610612746,LAC,G,31.0,6,6,0.377,2.17,4.33,0.5,0.541,-0.041,Less Than 10 Feet
201609,Goran Dragic,1610612748,MIA,G,30.0,13,12,0.431,1.62,4.31,0.375,0.528,-0.153,Less Than 10 Feet
203084,Harrison Barnes,1610612744,GSW,F,23.0,10,10,0.391,2.4,4.3,0.558,0.543,0.015,Less Than 10 Feet
203469,Cody Zeller,1610612766,CHA,C-F,23.0,7,7,0.612,2.71,4.29,0.633,0.573,0.06,Less Than 10 Feet
203468,CJ McCollum,1610612757,POR,G,24.0,11,11,0.246,2.55,4.27,0.596,0.574,0.021,Less Than 10 Feet
1626169,Stanley Johnson,1610612765,DET,F,19.0,4,4,0.459,3.0,4.25,0.706,0.61,0.096,Less Than 10 Feet
2561,David West,1610612759,SAS,F,35.0,9,9,0.623,2.33,4.22,0.553,0.524,0.028,Less Than 10 Feet
202695,Kawhi Leonard,1610612759,SAS,F,24.0,10,10,0.424,2.0,4.2,0.476,0.567,-0.091,Less Than 10 Feet
2594,Kyle Korver,1610612737,ATL,G,35.0,10,9,0.418,2.4,4.1,0.585,0.555,0.031,Less Than 10 Feet
202391,Jeremy Lin,1610612766,CHA,G,27.0,7,7,0.378,2.57,4.0,0.643,0.562,0.081,Less Than 10 Feet
203210,JaMychal Green,1610612763,MEM,F,25.0,4,4,0.64,1.75,4.0,0.438,0.605,-0.168,Less Than 10 Feet
101109,Raymond Felton,1610612742,DAL,G,31.0,5,4,0.308,1.2,4.0,0.3,0.576,-0.276,Less Than 10 Feet
201177,Josh McRoberts,1610612748,MIA,F,29.0,9,9,0.679,2.44,4.0,0.611,0.565,0.046,Less Than 10 Feet
202331,Paul George,1610612754,IND,F,26.0,7,7,0.281,2.0,3.86,0.519,0.515,0.003,Less Than 10 Feet
201976,Patrick Beverley,1610612745,HOU,G,27.0,5,5,0.311,2.6,3.8,0.684,0.566,0.119,Less Than 10 Feet
202335,Patrick Patterson,1610612761,TOR,F,27.0,13,13,0.383,1.54,3.77,0.408,0.554,-0.145,Less Than 10 Feet
202681,Kyrie Irving,1610612739,CLE,G,24.0,8,8,0.417,2.5,3.75,0.667,0.524,0.143,Less Than 10 Feet
