CLOSE_DEF_PERSON_ID,PLAYER_NAME,PLAYER_LAST_TEAM_ID,PLAYER_LAST_TEAM_ABBREVIATION,PLAYER_POSITION,AGE,GP,G,FREQ,FG3M,FG3A,FG3_PCT,NS_FG3_PCT,PLUSMINUS,Hustle Type
101114,Deron Williams,1610612742,DAL,G,31.0,2,2,0.833,2.0,7.5,0.267,0.333,-0.066,3 Pointers
203484,Kentavious Caldwell-Pope,1610612765,DET,G,23.0,4,4,0.551,2.75,6.75,0.407,0.369,0.038,3 Pointers
202704,Reggie Jackson,1610612765,DET,G,26.0,4,4,0.52,3.25,6.5,0.5,0.393,0.107,3 Pointers
203109,Jae Crowder,1610612738,BOS,F,25.0,6,6,0.481,2.17,6.33,0.342,0.375,-0.033,3 Pointers
200794,Paul Millsap,1610612737,ATL,F,31.0,10,10,0.337,2.0,6.1,0.328,0.356,-0.029,3 Pointers
202691,Klay Thompson,1610612744,GSW,G,26.0,10,10,0.513,2.2,6.1,0.361,0.36,0.001,3 Pointers
202699,Tobias Harris,1610612765,DET,F,23.0,4,4,0.434,2.5,5.75,0.435,0.378,0.057,3 Pointers
203110,Draymond Green,1610612744,GSW,F,26.0,10,10,0.293,2.1,5.6,0.375,0.357,0.018,3 Pointers
202083,Wesley Matthews,1610612742,DAL,G-F,29.0,5,5,0.394,1.8,5.6,0.321,0.36,-0.038,3 Pointers
203468,CJ McCollum,1610612757,POR,G,24.0,11,11,0.314,1.82,5.45,0.333,0.435,-0.102,3 Pointers
201935,James Harden,1610612745,HOU,G,26.0,5,5,0.377,1.8,5.2,0.346,0.396,-0.05,3 Pointers
202694,Marcus Morris,1610612765,DET,F,26.0,4,4,0.4,1.0,5.0,0.2,0.367,-0.167,3 Pointers
202331,Paul George,1610612754,IND,F,26.0,7,7,0.365,1.29,5.0,0.257,0.356,-0.099,3 Pointers
202340,Avery Bradley,1610612738,BOS,G,25.0,1,1,0.417,1.0,5.0,0.2,0.383,-0.183,3 Pointers
203935,Marcus Smart,1610612738,BOS,G,22.0,6,6,0.508,1.5,5.0,0.3,0.36,-0.06,3 Pointers
203145,Kent Bazemore,1610612737,ATL,F-G,26.0,10,10,0.463,2.3,5.0,0.46,0.338,0.122,3 Pointers
202689,Kemba Walker,1610612766,CHA,G,26.0,7,7,0.42,2.0,4.86,0.412,0.386,0.026,3 Pointers
204098,Xavier Munford,1610612763,MEM,G,23.0,4,4,0.576,1.75,4.75,0.368,0.391,-0.022,3 Pointers
201933,Blake Griffin,1610612746,LAC,F,27.0,4,4,0.388,1.25,4.75,0.263,0.37,-0.106,3 Pointers
201142,Kevin Durant,1610612760,OKC,F,27.0,11,11,0.452,1.82,4.73,0.385,0.368,0.016,3 Pointers
202323,Evan Turner,1610612738,BOS,G-F,27.0,6,6,0.378,1.0,4.67,0.214,0.359,-0.145,3 Pointers
202329,Al-Farouq Aminu,1610612757,POR,F,25.0,11,10,0.313,1.55,4.55,0.34,0.387,-0.047,3 Pointers
201567,Kevin Love,1610612739,CLE,F,27.0,8,8,0.31,1.88,4.5,0.417,0.343,0.074,3 Pointers
200755,JJ Redick,1610612746,LAC,G,31.0,6,6,0.391,2.0,4.5,0.444,0.353,0.092,3 Pointers
2772,Trevor Ariza,1610612745,HOU,F,30.0,5,5,0.44,1.4,4.4,0.318,0.427,-0.108,3 Pointers
201143,Al Horford,1610612737,ATL,C-F,29.0,10,10,0.253,1.6,4.3,0.372,0.344,0.028,3 Pointers
201976,Patrick Beverley,1610612745,HOU,G,27.0,5,5,0.344,1.4,4.2,0.333,0.395,-0.062,3 Pointers
2594,Kyle Korver,1610612737,ATL,G,35.0,10,10,0.429,1.7,4.2,0.405,0.332,0.073,3 Pointers
202738,Isaiah Thomas,1610612738,BOS,G,27.0,6,6,0.439,1.17,4.17,0.28,0.349,-0.069,3 Pointers
201145,Jeff Green,1610612746,LAC,F,29.0,6,6,0.304,1.17,4.0,0.292,0.357,-0.066,3 Pointers
201588,George Hill,1610612754,IND,G,30.0,7,7,0.378,0.86,4.0,0.214,0.366,-0.152,3 Pointers
101108,Chris Paul,1610612746,LAC,G,31.0,4,4,0.421,0.5,4.0,0.125,0.378,-0.253,3 Pointers
202681,Kyrie Irving,1610612739,CLE,G,24.0,8,7,0.431,1.63,3.88,0.419,0.343,0.077,3 Pointers
2747,J.R. Smith,1610612739,CLE,G-F,30.0,8,8,0.508,1.38,3.88,0.355,0.351,0.004,3 Pointers
2738,Andre Iguodala,1610612744,GSW,G-F,32.0,10,9,0.427,1.7,3.8,0.447,0.365,0.082,3 Pointers
201952,Jeff Teague,1610612737,ATL,G,27.0,10,9,0.633,1.5,3.8,0.395,0.342,0.053,3 Pointers
101109,Raymond Felton,1610612742,DAL,G,31.0,5,5,0.292,0.8,3.8,0.211,0.322,-0.112,3 Pointers
1626196,Josh Richardson,1610612748,MIA,G,22.0,13,13,0.377,1.08,3.77,0.286,0.364,-0.079,3 Pointers
200770,Jordan Farmar,1610612763,MEM,G,29.0,4,4,0.405,1.0,3.75,0.267,0.37,-0.104,3 Pointers
1626163,Frank Kaminsky,1610612766,CHA,C,23.0,7,6,0.329,1.57,3.71,0.423,0.348,0.075,3 Pointers
203085,Austin Rivers,1610612746,LAC,G,23.0,6,6,0.468,1.5,3.67,0.409,0.384,0.026,3 Pointers
2544,LeBron James,1610612739,CLE,F,31.0,8,8,0.333,1.0,3.63,0.276,0.346,-0.07,3 Pointers
203084,Harrison Barnes,1610612744,GSW,F,23.0,10,8,0.327,1.2,3.6,0.333,0.355,-0.022,3 Pointers
2440,Matt Barnes,1610612763,MEM,F,36.0,4,4,0.318,2.25,3.5,0.643,0.413,0.23,3 Pointers
201939,Stephen Curry,1610612744,GSW,G,28.0,4,4,0.412,0.5,3.5,0.143,0.379,-0.236,3 Pointers
101145,Monta Ellis,1610612754,IND,G,30.0,7,7,0.393,1.14,3.43,0.333,0.372,-0.038,3 Pointers
202700,Donatas Motiejunas,1610612745,HOU,F-C,25.0,5,5,0.386,1.4,3.4,0.412,0.397,0.015,3 Pointers
201980,Danny Green,1610612759,SAS,G-F,28.0,10,10,0.266,0.7,3.4,0.206,0.337,-0.131,3 Pointers
203459,Allen Crabbe,1610612757,POR,G,24.0,11,11,0.402,1.0,3.36,0.297,0.386,-0.089,3 Pointers
201973,Jonas Jerebko,1610612738,BOS,F,29.0,6,6,0.345,1.0,3.33,0.3,0.37,-0.07,3 Pointers
2207,Joe Johnson,1610612748,MIA,F-G,34.0,13,12,0.361,0.77,3.31,0.233,0.365,-0.133,3 Pointers
201960,DeMarre Carroll,1610612761,TOR,F,29.0,13,13,0.269,0.92,3.31,0.279,0.348,-0.069,3 Pointers
200768,Kyle Lowry,1610612761,TOR,G,30.0,13,13,0.316,1.23,3.31,0.372,0.36,0.012,3 Pointers
