CLOSE_DEF_PERSON_ID,PLAYER_NAME,PLAYER_LAST_TEAM_ID,PLAYER_LAST_TEAM_ABBREVIATION,PLAYER_POSITION,AGE,GP,G,FREQ,FG2M,FG2A,FG2_PCT,NS_FG2_PCT,PLUSMINUS,Hustle Type
201586,Serge Ibaka,1610612760,OKC,F,26.0,11,11,0.868,7.45,14.36,0.519,0.507,0.012,2 Pointers
202355,Hassan Whiteside,1610612748,MIA,C,26.0,10,10,0.979,6.7,14.1,0.475,0.489,-0.014,2 Pointers
201584,Courtney Lee,1610612766,CHA,G,30.0,7,7,0.848,5.86,13.57,0.432,0.477,-0.046,2 Pointers
203110,Draymond Green,1610612744,GSW,F,26.0,10,10,0.707,4.2,13.5,0.311,0.505,-0.194,2 Pointers
201143,Al Horford,1610612737,ATL,C-F,29.0,10,10,0.747,4.9,12.7,0.386,0.493,-0.107,2 Pointers
203500,Steven Adams,1610612760,OKC,C,22.0,11,11,0.849,5.73,12.27,0.467,0.502,-0.035,2 Pointers
200794,Paul Millsap,1610612737,ATL,F,31.0,10,10,0.663,5.1,12.0,0.425,0.494,-0.069,2 Pointers
203468,CJ McCollum,1610612757,POR,G,24.0,11,11,0.686,6.09,11.91,0.511,0.505,0.007,2 Pointers
1626167,Myles Turner,1610612754,IND,F-C,20.0,7,7,0.837,5.14,11.71,0.439,0.494,-0.055,2 Pointers
200746,LaMarcus Aldridge,1610612759,SAS,F,30.0,10,10,0.803,5.3,11.4,0.465,0.504,-0.039,2 Pointers
2585,Zaza Pachulia,1610612742,DAL,C,32.0,5,5,0.914,6.6,10.6,0.623,0.551,0.071,2 Pointers
202684,Tristan Thompson,1610612739,CLE,C-F,25.0,8,8,0.761,5.38,10.38,0.518,0.504,0.014,2 Pointers
202685,Jonas Valanciunas,1610612761,TOR,C,24.0,10,10,0.954,4.9,10.3,0.476,0.505,-0.029,2 Pointers
2216,Zach Randolph,1610612763,MEM,F,34.0,4,4,0.932,5.75,10.25,0.561,0.508,0.053,2 Pointers
203486,Mason Plumlee,1610612757,POR,C-F,26.0,11,11,0.867,5.73,10.09,0.568,0.553,0.014,2 Pointers
202329,Al-Farouq Aminu,1610612757,POR,F,25.0,11,11,0.688,4.36,10.0,0.436,0.514,-0.077,2 Pointers
201567,Kevin Love,1610612739,CLE,F,27.0,8,8,0.69,4.88,10.0,0.488,0.5,-0.013,2 Pointers
2736,Luol Deng,1610612748,MIA,F,31.0,13,13,0.796,3.54,9.62,0.368,0.458,-0.09,2 Pointers
201980,Danny Green,1610612759,SAS,G-F,28.0,10,10,0.734,4.2,9.4,0.447,0.52,-0.074,2 Pointers
101109,Raymond Felton,1610612742,DAL,G,31.0,5,5,0.708,3.4,9.2,0.37,0.521,-0.151,2 Pointers
2730,Dwight Howard,1610612745,HOU,C,30.0,5,5,0.807,5.4,9.2,0.587,0.528,0.059,2 Pointers
